<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DHG,20131002,46.24,47.92,46.24,47.50,14210
DHG,20131001,46.24,46.66,45.82,46.66,15760
DHG,20130930,46.24,46.24,45.40,46.24,24220
DHG,20130927,46.24,46.24,45.40,45.82,13180
DHG,20130926,45.82,46.24,45.40,45.82,6100
DHG,20130925,45.82,45.82,45.82,45.82,12440
DHG,20130924,44.98,46.66,44.98,45.40,13250
DHG,20130923,45.40,45.82,44.98,45.40,10240
DHG,20130920,45.40,45.82,45.40,45.40,4420
DHG,20130919,45.82,46.24,45.82,45.82,13420
DHG,20130918,45.40,46.66,45.40,45.82,21070
DHG,20130917,46.66,46.66,45.82,46.24,15690
DHG,20130916,47.08,47.08,46.24,46.66,14550
DHG,20130913,46.24,46.66,45.82,46.66,14000
DHG,20130912,45.82,46.66,45.82,46.24,20730
DHG,20130911,46.24,46.24,45.40,46.24,32430
DHG,20130910,43.29,45.39,43.29,44.98,22420
DHG,20130909,44.98,44.98,42.88,43.29,16690
DHG,20130906,45.40,45.40,44.14,45.40,4360
DHG,20130905,45.82,45.82,44.14,45.40,10960
DHG,20130904,45.40,46.66,44.98,45.82,15190
DHG,20130903,44.55,45.81,43.71,45.82,25810
DHG,20130830,42.03,43.29,41.61,43.29,16090
DHG,20130829,41.61,42.87,39.93,42.03,35310
DHG,20130828,44.13,44.13,41.19,41.61,64060
DHG,20130827,44.56,44.98,43.72,44.13,24950
DHG,20130826,45.82,45.82,43.72,45.40,47930
DHG,20130823,46.66,46.66,45.82,45.82,48500
DHG,20130822,47.92,47.92,47.08,47.08,41300
DHG,20130821,49.18,49.18,47.92,48.34,34590
DHG,20130820,47.92,48.76,47.50,48.34,46650
DHG,20130819,47.50,48.34,47.50,48.34,24220
DHG,20130816,48.34,48.34,47.50,47.92,12490
DHG,20130815,48.34,49.18,48.34,49.18,36360
DHG,20130814,46.89,48.13,46.89,48.13,83440
DHG,20130813,48.13,48.54,47.30,47.30,21010
DHG,20130812,47.72,48.54,47.30,48.13,7750
DHG,20130809,47.72,48.13,47.30,48.13,20580
DHG,20130808,48.55,48.55,47.72,48.13,46560
DHG,20130807,50.20,50.20,48.96,48.96,33410
DHG,20130806,50.20,50.20,48.96,49.79,26200
DHG,20130805,49.37,51.03,48.13,50.20,95060
DHG,20130802,47.29,48.54,47.29,48.13,37680
DHG,20130801,44.81,47.29,44.39,46.88,73990
DHG,20130731,43.98,45.63,43.98,45.22,46840
DHG,20130730,43.98,44.81,43.57,44.39,10840
DHG,20130729,45.63,45.63,43.98,44.81,11120
DHG,20130726,43.98,46.05,43.98,45.22,40130
DHG,20130725,41.49,45.22,41.49,43.98,49320
DHG,20130724,43.97,43.97,41.90,42.73,29450
DHG,20130723,44.80,46.46,43.56,43.56,53600
DHG,20130722,41.07,43.56,41.07,43.56,62040
DHG,20130719,40.65,41.07,40.24,41.07,15650
DHG,20130718,40.04,40.66,39.83,40.24,21910
DHG,20130717,39.21,39.83,38.80,39.83,50720
DHG,20130716,39.00,39.21,38.59,39.21,23350
DHG,20130715,39.41,39.41,39.00,39.00,6100
DHG,20130712,39.00,39.00,38.59,39.00,16290
DHG,20130711,37.76,39.83,37.76,39.00,46060
DHG,20130710,37.55,37.96,37.55,37.55,13570
DHG,20130709,37.34,37.75,37.34,37.55,9180
DHG,20130708,37.55,37.55,37.13,37.13,11710
DHG,20130705,36.93,37.34,36.72,37.34,23110
DHG,20130704,36.72,36.93,36.51,36.93,2470
DHG,20130703,36.30,36.72,36.30,36.72,16340
DHG,20130702,36.72,36.72,36.51,36.51,19330
DHG,20130701,36.10,36.10,35.69,36.10,7380
DHG,20130628,36.51,36.51,35.68,36.10,12000
DHG,20130627,36.72,36.72,35.89,36.30,10110
DHG,20130626,36.72,36.72,35.69,36.51,12920
DHG,20130625,36.30,36.51,35.27,36.10,8270
DHG,20130624,36.93,36.93,36.10,36.51,16730
DHG,20130621,36.30,36.92,36.30,36.93,4690
DHG,20130620,36.30,36.51,36.10,36.30,25890
DHG,20130619,37.13,37.13,36.30,36.51,9630
DHG,20130618,35.27,35.89,35.27,35.89,4630
DHG,20130617,36.93,36.93,35.27,35.27,18220
DHG,20130614,36.92,36.92,35.89,36.10,4940
DHG,20130613,36.72,36.92,35.68,35.68,25340
DHG,20130612,37.34,37.34,36.51,37.13,3300
DHG,20130611,36.72,37.34,36.72,37.13,9060
DHG,20130610,38.79,38.79,37.34,37.34,28500
DHG,20130607,34.64,36.71,34.64,36.51,32970
DHG,20130606,34.23,34.64,34.02,34.64,7580
DHG,20130605,34.43,34.43,33.81,34.23,23380
DHG,20130604,33.61,34.44,33.61,33.81,19970
DHG,20130603,34.85,34.85,34.02,34.44,4790
DHG,20130531,34.85,34.85,34.02,34.23,4610
DHG,20130530,34.03,34.44,34.03,34.02,6160
DHG,20130529,33.82,34.64,33.82,34.44,10550
DHG,20130528,34.03,34.44,34.03,34.23,5390
DHG,20130527,34.85,34.85,34.23,34.44,16530
DHG,20130524,33.81,34.85,33.81,34.85,4320
DHG,20130523,34.85,34.85,34.44,34.85,19150
DHG,20130522,34.64,35.05,34.64,34.85,10670
DHG,20130521,35.26,35.26,34.02,34.64,28500
DHG,20130520,33.81,33.81,33.60,33.81,5510
DHG,20130517,33.60,33.81,33.19,33.81,34470
DHG,20130516,33.61,33.61,33.19,33.19,7510
DHG,20130515,33.60,33.60,32.78,33.40,10120
DHG,20130514,32.78,33.19,32.58,33.19,5370
DHG,20130513,33.60,33.60,32.79,32.78,16030
DHG,20130510,33.19,33.19,32.99,32.99,15330
DHG,20130509,32.79,32.99,32.38,32.99,3350
DHG,20130508,32.99,32.99,32.79,32.99,820
DHG,20130507,32.99,32.99,32.38,32.99,5530
DHG,20130506,32.99,32.99,32.38,32.99,9000
DHG,20130503,31.76,32.57,31.76,32.58,1080
DHG,20130502,32.78,32.78,31.76,31.96,13640
DHG,20130426,34.01,34.01,32.38,32.37,11970
DHG,20130425,31.96,33.19,31.96,32.99,9580
DHG,20130424,32.78,32.78,32.37,32.37,3760
DHG,20130423,31.55,32.37,31.55,32.37,5290
DHG,20130422,32.58,32.58,32.37,32.37,2840
DHG,20130418,32.58,32.78,32.37,32.78,2540
DHG,20130417,33.60,33.60,32.78,33.19,5790
DHG,20130416,32.79,33.60,32.38,33.60,10680
DHG,20130415,33.60,33.60,32.99,32.99,5950
DHG,20130412,33.19,33.60,32.78,33.60,18430
DHG,20130411,33.61,34.01,33.61,33.60,3300
DHG,20130410,34.01,34.42,33.81,33.81,10530
DHG,20130409,34.22,34.42,34.01,34.01,9590
DHG,20130408,34.83,34.83,33.81,34.42,22590
DHG,20130405,34.22,34.42,33.81,34.01,6000
DHG,20130404,33.81,34.63,33.61,34.22,20210
DHG,20130403,34.42,34.83,33.60,33.81,17670
DHG,20130402,35.65,35.65,34.83,34.83,19300
DHG,20130401,33.20,35.02,33.20,34.42,36640
DHG,20130329,33.61,33.61,33.00,33.00,34360
DHG,20130328,33.41,34.02,33.21,33.61,22160
DHG,20130327,33.20,33.40,32.80,33.41,47060
DHG,20130326,33.61,33.81,33.00,33.00,56730
DHG,20130325,33.00,34.01,32.60,33.61,27330
DHG,20130322,35.63,35.83,31.99,31.99,64770
DHG,20130321,32.40,33.81,32.40,33.81,87130
DHG,20130320,30.16,31.78,30.16,31.79,71620
DHG,20130319,29.96,29.96,29.76,29.76,11690
DHG,20130318,29.97,29.97,29.77,29.76,3980
DHG,20130315,29.97,29.97,29.77,29.97,3700
DHG,20130314,29.97,29.97,29.57,29.97,3570
DHG,20130313,29.97,29.97,29.97,29.97,4200
DHG,20130312,29.97,29.97,29.57,29.97,5780
DHG,20130311,29.96,29.96,29.96,29.97,360
DHG,20130308,29.16,29.56,29.16,29.56,11380
DHG,20130307,28.96,29.57,28.96,29.56,1330
DHG,20130306,29.76,29.76,29.15,29.16,3060
DHG,20130305,29.16,29.57,28.96,28.95,5340
DHG,20130304,29.97,29.97,29.97,29.97,1260
DHG,20130301,29.16,29.56,29.16,29.16,3550
DHG,20130228,29.56,29.56,29.16,29.56,12160
DHG,20130227,29.96,29.96,28.95,29.56,6480
DHG,20130226,29.56,29.56,28.95,28.95,11880
DHG,20130225,29.56,29.56,29.15,29.56,11060
DHG,20130222,29.97,29.97,28.75,28.95,11740
DHG,20130221,29.56,29.76,29.36,29.36,18000
DHG,20130220,29.97,29.97,29.57,29.56,17770
DHG,20130219,29.36,29.97,29.36,29.97,12700
DHG,20130218,30.17,30.17,29.36,29.36,5350
DHG,20130208,30.17,30.17,29.57,30.17,1960
DHG,20130207,30.37,30.37,29.56,29.97,4000
DHG,20130206,30.38,30.38,29.36,30.37,2670
DHG,20130205,29.77,29.97,29.36,29.97,1560
DHG,20130204,30.38,30.38,29.97,30.17,5340
DHG,20130201,29.36,29.97,29.16,29.97,510
DHG,20130131,30.37,30.37,29.56,30.17,16040
DHG,20130130,30.77,30.77,29.97,30.37,17460
DHG,20130129,29.36,30.37,29.36,30.37,24310
DHG,20130128,30.37,30.57,29.96,30.37,46460
DHG,20130125,29.77,29.77,29.16,29.76,16390
DHG,20130124,28.95,30.17,28.75,29.16,19710
DHG,20130123,28.95,28.95,28.75,28.75,18220
DHG,20130122,28.95,28.95,28.55,28.95,21010
DHG,20130121,29.15,29.15,28.55,28.55,21630
DHG,20130118,29.15,29.36,28.95,28.95,8330
DHG,20130117,29.36,29.36,28.75,28.75,18750
DHG,20130116,29.36,29.76,28.96,29.36,80850
DHG,20130115,29.56,29.56,29.16,29.36,26520
DHG,20130114,29.76,29.76,29.15,29.36,28840
DHG,20130111,30.17,30.38,29.57,29.76,27430
DHG,20130110,29.76,30.16,29.76,29.97,24250
DHG,20130109,30.38,31.18,29.77,29.76,50680
DHG,20130108,28.75,30.17,28.35,29.97,52190
DHG,20130107,28.95,28.95,27.94,28.75,11300
DHG,20130104,29.15,29.15,28.75,28.75,2870
DHG,20130103,29.15,29.15,28.75,28.75,5250
DHG,20130102,29.16,29.16,28.75,28.75,3780
DHG,20121228,28.75,29.57,27.95,29.56,25320
DHG,20121227,27.74,28.35,27.54,28.35,20690
DHG,20121226,27.94,27.94,27.34,27.74,10760
DHG,20121225,27.74,27.74,27.74,27.74,7550
DHG,20121224,26.93,27.94,26.93,27.74,11440
DHG,20121221,26.73,27.13,26.73,26.93,19000
DHG,20121220,27.14,27.54,26.93,26.93,11170
DHG,20121219,27.94,27.94,27.13,27.54,3560
DHG,20121218,27.54,27.54,27.13,27.13,2700
DHG,20121217,28.14,28.14,27.53,27.94,7780
DHG,20121214,28.35,28.55,27.13,27.13,4990
